id,customer_id,merchant_id,status,created_at,updated_at
1,1,92,shipped,2012-02-14 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,1,76,shipped,2012-02-21 06:56:56 UTC,2012-02-26 20:56:56 UTC
3,1,43,shipped,2012-02-08 01:56:56 UTC,2012-02-26 20:56:56 UTC
4,1,60,shipped,2012-02-19 07:56:56 UTC,2012-02-26 20:56:56 UTC
5,1,86,shipped,2012-02-06 06:56:56 UTC,2012-02-26 20:56:56 UTC
6,1,36,shipped,2012-02-26 04:56:56 UTC,2012-02-26 20:56:56 UTC
7,1,67,shipped,2012-02-15 13:56:57 UTC,2012-02-26 20:56:57 UTC
8,1,54,shipped,2012-02-20 21:56:57 UTC,2012-02-26 20:56:57 UTC
9,2,94,shipped,2012-02-09 18:56:57 UTC,2012-02-26 20:56:57 UTC
10,2,40,shipped,2012-02-15 18:56:57 UTC,2012-02-26 20:56:57 UTC
11,2,28,shipped,2012-02-07 12:56:57 UTC,2012-02-26 20:56:57 UTC
12,2,64,shipped,2012-02-18 21:56:57 UTC,2012-02-26 20:56:57 UTC
13,3,49,shipped,2012-02-18 09:56:57 UTC,2012-02-26 20:56:57 UTC
14,3,69,shipped,2012-02-11 14:56:57 UTC,2012-02-26 20:56:57 UTC
15,3,24,shipped,2012-02-13 15:56:57 UTC,2012-02-26 20:56:57 UTC
16,5,14,shipped,2012-02-09 02:56:57 UTC,2012-02-26 20:56:57 UTC
17,5,15,shipped,2012-02-11 20:56:57 UTC,2012-02-26 20:56:57 UTC
18,5,3,shipped,2012-02-06 07:56:57 UTC,2012-02-26 20:56:57 UTC
19,5,76,shipped,2012-02-08 17:56:57 UTC,2012-02-26 20:56:57 UTC
20,5,42,shipped,2012-02-16 03:56:57 UTC,2012-02-26 20:56:57 UTC
21,5,91,shipped,2012-02-08 01:56:57 UTC,2012-02-26 20:56:57 UTC
22,5,84,shipped,2012-02-26 08:56:57 UTC,2012-02-26 20:56:57 UTC
23,5,49,shipped,2012-02-20 00:56:57 UTC,2012-02-26 20:56:57 UTC
24,6,54,shipped,2012-02-09 02:56:57 UTC,2012-02-26 20:56:57 UTC
25,6,20,shipped,2012-02-16 18:56:57 UTC,2012-02-26 20:56:57 UTC
26,6,88,shipped,2012-02-25 06:56:57 UTC,2012-02-26 20:56:57 UTC
27,6,49,shipped,2012-02-21 23:56:57 UTC,2012-02-26 20:56:57 UTC
28,6,74,shipped,2012-02-15 13:56:57 UTC,2012-02-26 20:56:57 UTC
29,7,93,shipped,2012-02-19 19:56:57 UTC,2012-02-26 20:56:57 UTC
30,7,10,shipped,2012-02-25 02:56:57 UTC,2012-02-26 20:56:57 UTC
31,7,47,shipped,2012-02-07 06:56:57 UTC,2012-02-26 20:56:57 UTC
32,7,46,shipped,2012-02-16 11:56:57 UTC,2012-02-26 20:56:57 UTC
33,8,57,shipped,2012-02-11 02:56:57 UTC,2012-02-26 20:56:57 UTC
34,8,48,shipped,2012-02-09 01:56:57 UTC,2012-02-26 20:56:57 UTC
35,9,68,shipped,2012-02-25 23:56:57 UTC,2012-02-26 20:56:57 UTC
36,9,62,shipped,2012-02-08 03:56:57 UTC,2012-02-26 20:56:57 UTC
37,9,99,shipped,2012-02-07 14:56:58 UTC,2012-02-26 20:56:58 UTC
38,9,37,shipped,2012-02-25 10:56:58 UTC,2012-02-26 20:56:58 UTC
39,9,48,shipped,2012-02-22 00:56:58 UTC,2012-02-26 20:56:58 UTC
40,9,37,shipped,2012-02-09 14:56:58 UTC,2012-02-26 20:56:58 UTC
41,9,55,shipped,2012-02-22 05:56:58 UTC,2012-02-26 20:56:58 UTC
42,9,56,shipped,2012-02-10 04:56:58 UTC,2012-02-26 20:56:58 UTC
43,9,11,shipped,2012-02-23 21:56:58 UTC,2012-02-26 20:56:58 UTC
44,9,84,shipped,2012-02-17 02:56:58 UTC,2012-02-26 20:56:58 UTC
45,10,94,shipped,2012-02-15 19:56:58 UTC,2012-02-26 20:56:58 UTC
46,10,95,shipped,2012-02-12 15:56:58 UTC,2012-02-26 20:56:58 UTC
47,10,67,shipped,2012-02-22 10:56:58 UTC,2012-02-26 20:56:58 UTC
48,10,59,shipped,2012-02-21 22:56:58 UTC,2012-02-26 20:56:58 UTC
49,10,59,shipped,2012-02-14 01:56:58 UTC,2012-02-26 20:56:58 UTC
50,10,50,shipped,2012-02-23 12:56:58 UTC,2012-02-26 20:56:58 UTC
51,10,28,shipped,2012-02-14 22:56:58 UTC,2012-02-26 20:56:58 UTC
52,10,71,shipped,2012-02-12 23:56:58 UTC,2012-02-26 20:56:58 UTC
53,11,75,shipped,2012-02-24 12:56:58 UTC,2012-02-26 20:56:58 UTC
54,11,89,shipped,2012-02-21 20:56:58 UTC,2012-02-26 20:56:58 UTC
55,11,95,shipped,2012-02-26 07:56:58 UTC,2012-02-26 20:56:58 UTC
56,11,44,shipped,2012-02-08 23:56:58 UTC,2012-02-26 20:56:58 UTC
57,11,83,shipped,2012-02-25 04:56:58 UTC,2012-02-26 20:56:58 UTC
58,11,25,shipped,2012-02-22 17:56:58 UTC,2012-02-26 20:56:58 UTC
59,11,67,shipped,2012-02-11 12:56:58 UTC,2012-02-26 20:56:58 UTC
60,11,61,shipped,2012-02-23 06:56:58 UTC,2012-02-26 20:56:58 UTC
61,11,75,shipped,2012-02-09 02:56:58 UTC,2012-02-26 20:56:58 UTC
62,12,27,shipped,2012-02-23 08:56:58 UTC,2012-02-26 20:56:58 UTC
63,12,42,shipped,2012-02-19 14:56:58 UTC,2012-02-26 20:56:58 UTC
64,12,69,shipped,2012-02-13 06:56:58 UTC,2012-02-26 20:56:58 UTC
65,12,52,shipped,2012-02-07 03:56:58 UTC,2012-02-26 20:56:58 UTC
66,12,84,shipped,2012-02-06 09:56:59 UTC,2012-02-26 20:56:59 UTC
67,12,5,shipped,2012-02-21 13:56:59 UTC,2012-02-26 20:56:59 UTC
68,13,12,shipped,2012-02-26 16:56:59 UTC,2012-02-26 20:56:59 UTC
