Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Owned By,Description,URL,Comment,Comment,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status
28485883,Visitor checking out signs up while purchasing,"checkout, evaluation, first time user",1,"Apr 23, 2012","May 6, 2012",feature,1,accepted,"Apr 23, 2012","Apr 25, 2012",,Matt Yoho,Matt Yoho,"Background:
  Given I am a visitor to the store ""Cool Sunglasses""
  And I have added items to my cart
  
Scenario: Visitor signs up during checkout
  Given I don't have a StoreEngine account
  When I checkout
  Then I can sign up for an account
  And I can sign in to my existing account
  And I can provide my email, billing, shipping, and credit card info to purchase directly

  When I choose to sign up
  Then I am asked for my account information
  
  When I create my account
  Then I should be logged in
  And I am returned to my checkout process
  And I can make my purchase normally
  And I should receive a confirmation email for signing up",http://www.pivotaltracker.com/story/show/28485883,"Does this mean we need multiple stores to be done first? (Matt Yoho - Apr 25, 2012)","No, just assume existing functionality. (Matt Yoho - Apr 25, 2012)","This exists in branch origin/sign_up_from_checkout (Matt Yoho - Apr 25, 2012)","Does not merge cleanly, please update from master and resend the pull request (Matt Yoho - Apr 25, 2012)",Allow account creation from checkout page,completed,Return to checkout process after account created,completed,Send confirmation email,completed
28485975,Visitor checking out signs in while purchasing,"checkout, evaluation, first time user",11,"Sep 10, 2012","Sep 23, 2012",feature,2,unstarted,"Apr 23, 2012",,,Matt Yoho,,"Background:
  Given I am a visitor to the store ""Cool Sunglasses""
  And I have added items to my cart

Scenario: Visitor signs in during checkout
  Given I have a StoreEngine account
  When I checkout
  Then I can sign up for an account
  And I can sign in to my existing account
  And I can provide my email, billing, shipping, and credit card info to purchase directly

  When I choose to sign in
  Then I should be logged in
  And I am returned to my checkout process
  And I can make my purchase normally",http://www.pivotaltracker.com/story/show/28485975
28485423,Visitor checking out purchases without signing up,"checkout, evaluation, first time user",11,"Sep 10, 2012","Sep 23, 2012",feature,2,unstarted,"Apr 23, 2012",,,Matt Yoho,,"Background:
  Given I am a visitor to the store ""Cool Sunglasses""
  And I have added items to my cart
  
Scenario: Visitor checks out without signing up
  When I checkout
  Then I can sign up for an account
  And I can sign in to my existing account
  And I can provide my email, billing, shipping, and credit card info to purchase directly

  When I provide my info directly
  And I purchase my order
  Then Ibe shown a confirmation page with a unique, hashed URL that displays my order details
  And I receive an email with my order details and the unique URL for later viewing",http://www.pivotaltracker.com/story/show/28485423
